Coral_ID,Depth,O2,pH,Species,Treatment,Condition,Location,Experiment
5,170,273.6816406,8.140000343,Acropora,Pr,Light,interface_algae,Shikine
5,180,272.8812256,8.140000343,Acropora,Pr,Light,interface_algae,Shikine
5,190,273.1265259,8.140000343,Acropora,Pr,Light,interface_algae,Shikine
5,200,272.8157043,8.140000343,Acropora,Pr,Light,interface_algae,Shikine
5,0,325.9640808,8.550000191,Acropora,Pr,Light,algae,Shikine
5,10,324.4289856,8.550000191,Acropora,Pr,Light,algae,Shikine
5,20,322.4324341,8.534693718,Acropora,Pr,Light,algae,Shikine
5,30,316.4477234,8.520000458,Acropora,Pr,Light,algae,Shikine
5,40,305.4716187,8.420000076,Acropora,Pr,Light,algae,Shikine
5,50,299.8732605,8.362244606,Acropora,Pr,Light,algae,Shikine
5,60,294.5579529,8.314897537,Acropora,Pr,Light,algae,Shikine
5,70,290.5814209,8.25387764,Acropora,Pr,Light,algae,Shikine
5,80,281.6091919,8.194897652,Acropora,Pr,Light,algae,Shikine
5,90,279.0183716,8.180000305,Acropora,Pr,Light,algae,Shikine
5,100,278.112854,8.180000305,Acropora,Pr,Light,algae,Shikine
5,110,276.7583618,8.169183731,Acropora,Pr,Light,algae,Shikine
5,120,273.756134,8.158571243,Acropora,Pr,Light,algae,Shikine
5,130,274.2532654,8.149999619,Acropora,Pr,Light,algae,Shikine
5,140,272.9320374,8.149999619,Acropora,Pr,Light,algae,Shikine
5,150,273.7759094,8.149999619,Acropora,Pr,Light,algae,Shikine
5,160,272.9763184,8.149999619,Acropora,Pr,Light,algae,Shikine
5,170,274.3648987,8.149999619,Acropora,Pr,Light,algae,Shikine
5,180,272.7295837,8.149999619,Acropora,Pr,Light,algae,Shikine
5,190,273.9195862,8.149999619,Acropora,Pr,Light,algae,Shikine
5,200,274.273468,8.149999619,Acropora,Pr,Light,algae,Shikine
5,0,253.4312439,7.809999943,Acropora,Pr,Dark,tissue,Shikine
5,10,257.3181763,7.889999866,Acropora,Pr,Dark,tissue,Shikine
5,20,261.9030762,7.929999828,Acropora,Pr,Dark,tissue,Shikine
5,30,264.6642761,7.989795685,Acropora,Pr,Dark,tissue,Shikine
5,40,267.4977417,8.02040863,Acropora,Pr,Dark,tissue,Shikine
5,50,266.7387695,8.029999733,Acropora,Pr,Dark,tissue,Shikine
5,60,269.1400146,8.039999962,Acropora,Pr,Dark,tissue,Shikine
5,70,268.8861084,8.050000191,Acropora,Pr,Dark,tissue,Shikine
5,80,269.1734619,8.050000191,Acropora,Pr,Dark,tissue,Shikine
